INDEX,STEP1_PROC_TIME,STEP2_PROC_TIME,STEP3_PROC_TIME,STEP_1_DIS,STEP_2_DIS,STEP_3_DIS,STEP_1_STD,STEP_2_STD,STEP_3_STD,  VAC_VAL,END_POINT,TOTAL_PROCTIME,
-2130171823,191,205,157,44.7985725,78.51533,65.06641,0.07774008,0.198155269,0.227984682,0.5124039,395,554,27.7
-2130171821,192,206,156,45.55502,80.53773,64.10248,0.08131861,0.2131041,0.221981049,0.5087679,397,555,27.75
-2130171819,192,211,156,45.8162346,88.20524,59.39534,0.07814819,0.23704806,0.195882261,0.5148279,402,560,28
-2130171818,192,212,156,47.25383,86.49259,58.70484,0.08134574,0.217455447,0.192983925,0.5027078,403,561,28.05
-2130171815,186,221,156,50.012104,107.147514,56.85145,0.08342931,0.2996592,0.190008059,0.5027078,406,564,28.2
-2130171813,192,211,156,44.574295,86.83221,59.82728,0.0731205,0.217140257,0.1986948,0.5148279,402,560,28
-2130171811,192,213,156,44.0533562,89.7283554,58.8926544,0.072631165,0.233833686,0.197439119,0.5063438,404,562,28.1
-2130171809,192,213,156,47.03162,88.42564,61.8548851,0.080413364,0.222960308,0.210693136,0.5124039,404,562,28.1
-2130171807,191,213,157,43.2384338,91.5805,61.1490479,0.0688718,0.235810757,0.206413686,0.5124039,403,562,28.1
-2130171805,192,213,157,45.1253,88.62671,61.70715,0.075702675,0.224605113,0.211998835,0.5063438,404,563,28.15
-2130171803,192,214,157,44.0207176,91.16551,61.2073364,0.07082023,0.2346598,0.207572222,0.5027078,405,564,28.2
-2130171801,191,212,157,49.18253,85.85548,62.9165955,0.08655867,0.2098924,0.214138746,0.5208879,402,561,28.05
-2130171799,192,214,157,43.888813,91.01858,61.2216148,0.07141804,0.233090326,0.210641176,0.5027078,405,564,28.2
-2130171797,191,213,156,43.8278542,89.5096054,60.0257149,0.0726564,0.232115552,0.200772882,0.5124039,403,561,28.05
-2130171795,190,212,157,42.6581573,89.25258,60.7445564,0.06961367,0.227550834,0.199689791,0.5184639,401,560,28
-2130171793,191,212,157,49.4862022,84.50275,59.98121,0.08616852,0.204777569,0.19865334,0.5124039,402,561,28.05
-2130171791,191,213,157,47.10624,88.10445,61.5726738,0.079873,0.21990113,0.207215741,0.5124039,403,562,28.1
-2130171789,193,211,158,49.4622955,85.20854,60.3858147,0.087169096,0.210942835,0.199071154,0.5148279,403,563,28.15
-2130171787,192,209,156,44.32043,84.87568,60.275135,0.07535524,0.217770919,0.20110783,0.5124039,400,558,27.9
-2130171785,190,212,157,44.72437,85.00004,65.157074,0.072840355,0.207981244,0.232320145,0.5063438,401,560,28
-2130171783,192,211,156,44.24162,87.1808548,62.59533,0.074043006,0.223528013,0.215065271,0.5027078,402,560,28
-2130171781,191,210,157,44.1185646,84.8176041,63.634182,0.07409145,0.214593172,0.220179066,0.5124039,400,559,27.95
-2130171779,193,207,156,46.6687622,81.88022,62.6212921,0.082965784,0.215368971,0.212716475,0.5124039,399,557,27.85
-2130171777,193,208,157,47.65717,82.37105,62.41836,0.083851785,0.208473831,0.2147859,0.5063438,400,559,27.95
-2130171773,192,207,157,45.133358,83.73645,65.64752,0.08074244,0.226150528,0.231164083,0.5148279,398,557,27.85
-2130171771,193,208,156,45.38593,82.87451,63.964817,0.07944191,0.213411912,0.224536,0.5027078,400,558,27.9
-2130171769,193,205,157,46.30092,79.53043,63.394413,0.081847966,0.2087222,0.217626333,0.5208879,397,556,27.8
