"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"16734","S05P5860AT00","95.S3805.W0A001Z","T05TM87505-0W3C7JC01","2","16.50 ","0.00 ",29.67,13,"0.3055 ","0.2859 ","NULL","NULL"
"16735","T30P5862FL00","95.T3030.W0D005Z","T05TM86334-163CZHH01","0","10.35 ","0.00 ",67,23,"0.2901 ","0.2773 ","NULL","NULL"
"16736","T30P58633400","95.T3030.Z0D01AZ","T05TM86338-163CUJV01","0","15.40 ","53.50 ",75,40,"0.2946 ","0.2907 ","0.2805 ","0.2526 "
"16737","401P58101600","95.T4014.A0B00CZ","T05TM81509-142CQI301","0","18.60 ","5.30 ",85,15,"0.2994 ","0.2740 ","NULL","NULL"
"16738","S06P58117400","95.S3806.W0A0E9Z","T05TM81605-052C7JC01","0","19.90 ","0.00 ",50.83,20,"0.2852 ","0.2834 ","0.2759 ","0.2464 "
"16739","S05P57C06N00","95.S3805.W0A001Z","T05TM81604-0W3C7JC01","0","15.70 ","0.00 ",35.33,9,"0.3020 ","0.2804 ","0.2933 ","0.2685 "
"16740","T70P5811LX00","95.T7020.Z0C114Z","T05TM81F01-016D4IA01","0","9.40 ","10.60 ",115.4,30,"0.3022 ","0.2755 ","NULL","NULL"
"16741","S06P5811CK00","95.S3806.W0A1AVZ","T05TM81623-043BED801","0","14.92 ","0.00 ",29.33,6,"0.2970 ","0.2684 ","0.2943 ","0.2758 "
"16742","380P5815FD00","95.S3806.W0A0C8Z","T05TM81620-0W3C7JC01","0","31.85 ","0.00 ",60.83,25,"0.2944 ","0.2932 ","0.2866 ","0.2630 "
"16743","S06P57C2ZJ00","95.S0606.A01","T05TM81003-04401D901","1","33.50 ","0.00 ",45.5,21,"0.3176 ","0.3153 ","0.2940 ","0.2731 "
"16744","S06P58117Q00","95.S3806.W0A0E9Z","T05TM81605-052C7JC01","0","19.90 ","0.00 ",44.5,21,"0.2819 ","0.2777 ","0.2754 ","0.2452 "
"16745","S06P58101600","95.S3806.W0A1AVZ","T05TM81602-043BEAD01","0","14.85 ","0.00 ",26.17,9,"0.3009 ","0.2738 ","0.2927 ","0.2718 "
"16746","S14P58205500","95.T3015.A00","T05TM82003-024CEAF02","0","15.60 ","0.00 ",72.17,6,"0.2913 ","0.2616 ","0.2866 ","0.2606 "
"16747","380P58167X00","95.S3806.W0A0B4Z","T05TM82601-0W3BECS01","0","33.70 ","0.00 ",45.83,14,"0.2996 ","0.3041 ","0.2883 ","0.2663 "
"16748","T70P5812RM00","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",121.33,14,"0.3118 ","0.2803 ","0.3069 ","0.2851 "
"16749","T30P5821BF00","95.T3030.A0D10AZ","T05TM82306-162CZHH01","0","72.00 ","0.32 ",95.17,21,"0.3202 ","0.3164 ","0.3004 ","0.2930 "
"16750","T70P5821AP00","95.T7020.Z0C11CZ","T05TM82711-016D6GX01","0","10.50 ","12.00 ",120,66,"0.2988 ","0.2707 ","0.2925 ","0.2690 "
"16751","T30P5812B102","95.T3030.Z0B100Z","T05TM82301-162BRLW01","0","15.30 ","68.00 ",51.67,7,"0.3454 ","0.4161 ","0.2883 ","0.2651 "
"16752","T70P58219J00","95.T7020.Z0C114Z","T05TM82F01-015D4JR02","0","9.60 ","14.00 ",116.17,26,"0.3027 ","0.2732 ","0.2907 ","0.2630 "
"16753","T30P5812AC00","95.T3030.Z0D119Z","T05TM81342-162DAHH01","0","13.36 ","210.00 ",58.17,16,"0.2778 ","0.2646 ","0.2705 ","0.2399 "
"16754","T70P5820QM00","95.T7020.Z0C11CZ","T05TM82705-016D6GX01","0","9.30 ","11.30 ",141.33,6,"0.2949 ","0.2605 ","0.2884 ","0.2595 "
"16755","T70P5820UL00","95.T7020.Z0C11BZ","T05TM82706-053D6GX01","0","12.00 ","22.90 ",134.33,16,"0.3148 ","0.2853 ","0.3058 ","0.2802 "
