"","px","py","POSID","IDX"
"226",0.2713,0.2623,"D400",226
"227",0.2769,0.2623,"D400",227
"228",0.2719,0.2519,"D400",228
"229",0.2608,0.2519,"D300",229
"230",0.2658,0.2623,"D300",230
"231",0.2713,0.2623,"D300",231
"232",0.2663,0.2519,"D300",232
"233",0.2553,0.2519,"D200",233
"234",0.2603,0.2623,"D200",234
"235",0.2658,0.2623,"D200",235
"236",0.2608,0.2519,"D200",236
"237",0.2498,0.2519,"D100",237
"238",0.2548,0.2623,"D100",238
"239",0.2603,0.2623,"D100",239
"240",0.2553,0.2519,"D100",240
"241",0.3044,0.2623,"EA00",241
"242",0.3094,0.2726,"EA00",242
"243",0.3149,0.2726,"EA00",243
"244",0.3099,0.2623,"EA00",244
"245",0.2989,0.2623,"E900",245
"246",0.3039,0.2726,"E900",246
"247",0.3094,0.2726,"E900",247
"248",0.3044,0.2623,"E900",248
"249",0.2934,0.2623,"E800",249
"250",0.2984,0.2726,"E800",250
"251",0.3039,0.2726,"E800",251
"252",0.2989,0.2623,"E800",252
"253",0.2879,0.2623,"E700",253
"254",0.2929,0.2726,"E700",254
"255",0.2984,0.2726,"E700",255
"256",0.2934,0.2623,"E700",256
"257",0.2824,0.2623,"E600",257
"258",0.2874,0.2726,"E600",258
"259",0.2929,0.2726,"E600",259
"260",0.2879,0.2623,"E600",260
"261",0.2769,0.2623,"E500",261
"262",0.2819,0.2726,"E500",262
"263",0.2874,0.2726,"E500",263
"264",0.2824,0.2623,"E500",264
"265",0.2713,0.2623,"E400",265
"266",0.2763,0.2726,"E400",266
"267",0.2819,0.2726,"E400",267
"268",0.2769,0.2623,"E400",268
"269",0.2658,0.2623,"E300",269
"270",0.2708,0.2726,"E300",270
"271",0.2763,0.2726,"E300",271
"272",0.2713,0.2623,"E300",272
"273",0.2603,0.2623,"E200",273
"274",0.2653,0.2726,"E200",274
"275",0.2708,0.2726,"E200",275
"276",0.2658,0.2623,"E200",276
"277",0.2548,0.2623,"E100",277
"278",0.2598,0.2726,"E100",278
"279",0.2653,0.2726,"E100",279
"280",0.2603,0.2623,"E100",280
"281",0.3094,0.2726,"FA00",281
"282",0.3144,0.2829,"FA00",282
"283",0.3199,0.2829,"FA00",283
"284",0.3149,0.2726,"FA00",284
"285",0.3039,0.2726,"F900",285
"286",0.3089,0.2829,"F900",286
"287",0.3144,0.2829,"F900",287
"288",0.3094,0.2726,"F900",288
"289",0.2984,0.2726,"F800",289
"290",0.3034,0.2829,"F800",290
"291",0.3089,0.2829,"F800",291
"292",0.3039,0.2726,"F800",292
"293",0.2929,0.2726,"F700",293
"294",0.2979,0.2829,"F700",294
"295",0.3034,0.2829,"F700",295
"296",0.2984,0.2726,"F700",296
"297",0.2874,0.2726,"F600",297
"298",0.2924,0.2829,"F600",298
"299",0.2979,0.2829,"F600",299
"300",0.2929,0.2726,"F600",300
"301",0.2819,0.2726,"F500",301
"302",0.2869,0.2829,"F500",302
"303",0.2924,0.2829,"F500",303
"304",0.2874,0.2726,"F500",304
"305",0.2763,0.2726,"F400",305
"306",0.2813,0.2829,"F400",306
"307",0.2869,0.2829,"F400",307
"308",0.2819,0.2726,"F400",308
"309",0.2708,0.2726,"F300",309
"310",0.2758,0.2829,"F300",310
"311",0.2813,0.2829,"F300",311
"312",0.2763,0.2726,"F300",312
"313",0.2653,0.2726,"F200",313
"314",0.2703,0.2829,"F200",314
"315",0.2758,0.2829,"F200",315
"316",0.2708,0.2726,"F200",316
"317",0.2598,0.2726,"F100",317
"318",0.2648,0.2829,"F100",318
"319",0.2703,0.2829,"F100",319
"320",0.2653,0.2726,"F100",320
"321",0.3144,0.2829,"GA00",321
"322",0.3194,0.2933,"GA00",322
"323",0.3249,0.2933,"GA00",323
"324",0.3199,0.2829,"GA00",324
"325",0.3089,0.2829,"G900",325
"326",0.3139,0.2933,"G900",326
"327",0.3194,0.2933,"G900",327
"328",0.3144,0.2829,"G900",328
"329",0.3034,0.2829,"G800",329
"330",0.3084,0.2933,"G800",330
"331",0.3139,0.2933,"G800",331
"332",0.3089,0.2829,"G800",332
"333",0.2979,0.2829,"G700",333
"334",0.3029,0.2933,"G700",334
"335",0.3084,0.2933,"G700",335
"336",0.3034,0.2829,"G700",336
"337",0.2924,0.2829,"G600",337
"338",0.2974,0.2933,"G600",338
"339",0.3029,0.2933,"G600",339
"340",0.2979,0.2829,"G600",340
"341",0.2869,0.2829,"G500",341
"342",0.2919,0.2933,"G500",342
"343",0.2974,0.2933,"G500",343
"344",0.2924,0.2829,"G500",344
"345",0.2813,0.2829,"G400",345
"346",0.2863,0.2933,"G400",346
"347",0.2919,0.2933,"G400",347
"348",0.2869,0.2829,"G400",348
"349",0.2758,0.2829,"G300",349
"350",0.2808,0.2933,"G300",350
"351",0.2863,0.2933,"G300",351
"352",0.2813,0.2829,"G300",352
"353",0.2703,0.2829,"G200",353
"354",0.2753,0.2933,"G200",354
"355",0.2808,0.2933,"G200",355
"356",0.2758,0.2829,"G200",356
"357",0.2648,0.2829,"G100",357
"358",0.2698,0.2933,"G100",358
"359",0.2753,0.2933,"G100",359
"360",0.2703,0.2829,"G100",360
"361",0.3194,0.2933,"HA00",361
"362",0.3244,0.3036,"HA00",362
"363",0.3299,0.3036,"HA00",363
"364",0.3249,0.2933,"HA00",364
"365",0.3139,0.2933,"H900",365
"366",0.3189,0.3036,"H900",366
"367",0.3244,0.3036,"H900",367
"368",0.3194,0.2933,"H900",368
"369",0.3084,0.2933,"H800",369
"370",0.3134,0.3036,"H800",370
"371",0.3189,0.3036,"H800",371
"372",0.3139,0.2933,"H800",372
"373",0.3029,0.2933,"H700",373
"374",0.3079,0.3036,"H700",374
"375",0.3134,0.3036,"H700",375
"376",0.3084,0.2933,"H700",376
"377",0.2974,0.2933,"H600",377
"378",0.3024,0.3036,"H600",378
"379",0.3079,0.3036,"H600",379
"380",0.3029,0.2933,"H600",380
"381",0.2919,0.2933,"H500",381
"382",0.2969,0.3036,"H500",382
"383",0.3024,0.3036,"H500",383
"384",0.2974,0.2933,"H500",384
"385",0.2863,0.2933,"H400",385
"386",0.2913,0.3036,"H400",386
"387",0.2969,0.3036,"H400",387
"388",0.2919,0.2933,"H400",388
"389",0.2808,0.2933,"H300",389
"390",0.2858,0.3036,"H300",390
"391",0.2913,0.3036,"H300",391
"392",0.2863,0.2933,"H300",392
"393",0.2753,0.2933,"H200",393
"394",0.2803,0.3036,"H200",394
"395",0.2858,0.3036,"H200",395
"396",0.2808,0.2933,"H200",396
"397",0.2698,0.2933,"H100",397
"398",0.2748,0.3036,"H100",398
"399",0.2803,0.3036,"H100",399
"400",0.2753,0.2933,"H100",400
"401",0.3244,0.3036,"IA00",401
"402",0.3294,0.314,"IA00",402
"403",0.3349,0.314,"IA00",403
"404",0.3299,0.3036,"IA00",404
"405",0.3189,0.3036,"I900",405
"406",0.3239,0.314,"I900",406
"407",0.3294,0.314,"I900",407
"408",0.3244,0.3036,"I900",408
"409",0.3134,0.3036,"I800",409
"410",0.3184,0.314,"I800",410
"411",0.3239,0.314,"I800",411
"412",0.3189,0.3036,"I800",412
"413",0.3079,0.3036,"I700",413
"414",0.3129,0.314,"I700",414
"415",0.3184,0.314,"I700",415
"416",0.3134,0.3036,"I700",416
"417",0.3024,0.3036,"I600",417
"418",0.3074,0.314,"I600",418
"419",0.3129,0.314,"I600",419
"420",0.3079,0.3036,"I600",420
"421",0.2969,0.3036,"I500",421
"422",0.3019,0.314,"I500",422
"423",0.3074,0.314,"I500",423
"424",0.3024,0.3036,"I500",424
"425",0.2913,0.3036,"I400",425
"426",0.2963,0.314,"I400",426
"427",0.3019,0.314,"I400",427
"428",0.2969,0.3036,"I400",428
"429",0.2858,0.3036,"I300",429
"430",0.2908,0.314,"I300",430
"431",0.2963,0.314,"I300",431
"432",0.2913,0.3036,"I300",432
"433",0.2803,0.3036,"I200",433
"434",0.2853,0.314,"I200",434
"435",0.2908,0.314,"I200",435
"436",0.2858,0.3036,"I200",436
"437",0.2748,0.3036,"I100",437
"438",0.2798,0.314,"I100",438
"439",0.2853,0.314,"I100",439
"440",0.2803,0.3036,"I100",440
"441",0.2748,0.3036,"I100",441
